AUDITORIA ESTRUCTURAL — Bloque D: columnas
Generado: 2026-06-19T07:07:51.802Z
Filas: 2224
================================================================================

column_default	column_name	data_type	is_nullable	table_name
now()	created_at	timestamp with time zone	YES	audit_logs
	id	uuid	YES	audit_logs_with_details
	action	character varying	YES	audit_logs_with_details
	timestamp	timestamp with time zone	YES	audit_logs_with_details
	details	text	YES	audit_logs_with_details
	admin_name	text	YES	audit_logs_with_details
	admin_email	text	YES	audit_logs_with_details
	admin_role	text	YES	audit_logs_with_details
	target_user_email	character varying	YES	audit_logs_with_details
	target_user_id	uuid	YES	audit_logs_with_details
gen_random_uuid()	id	uuid	NO	auditoria_vouchers
	id_cobranza	uuid	YES	auditoria_vouchers
	url_imagen	text	NO	auditoria_vouchers
	banco_detectado	character varying	YES	auditoria_vouchers
	monto_detectado	numeric	YES	auditoria_vouchers
	nro_operacion	character varying	YES	auditoria_vouchers
	fecha_pago_detectada	timestamp with time zone	YES	auditoria_vouchers
	hash_imagen	text	YES	auditoria_vouchers
'SOSPECHOSO'::estado_ia_enum	estado_ia	USER-DEFINED	NO	auditoria_vouchers
	analisis_ia	jsonb	YES	auditoria_vouchers
	school_id	uuid	YES	auditoria_vouchers
	subido_por	uuid	YES	auditoria_vouchers
now()	creado_at	timestamp with time zone	YES	auditoria_vouchers
now()	actualizado_at	timestamp with time zone	YES	auditoria_vouchers
uuid_generate_v4()	id	uuid	NO	auto_billing_logs
	school_id	uuid	YES	auto_billing_logs
now()	executed_at	timestamp with time zone	YES	auto_billing_logs
0	groups_processed	integer	YES	auto_billing_logs
0	total_amount	numeric	YES	auto_billing_logs
'{}'::text[]	errors	ARRAY	YES	auto_billing_logs
'success'::text	status	text	NO	auto_billing_logs
gen_random_uuid()	id	uuid	NO	billing_config
	school_id	uuid	NO	billing_config
'🔔 *COBRANZA LIMA CAFÉ 28*

Estimado(a) {nombre_padre}

El alumno *{nombre_estudiante}* tiene un consumo pendiente del período: {periodo}

💰 Monto Total: S/ {monto}

📎 Adjuntamos el detalle completo.

Para pagar, contacte con administración.
Gracias.'::text	message_template	text	NO	billing_config
	bank_account_info	text	YES	billing_config
	yape_number	text	YES	billing_config
	plin_number	text	YES	billing_config
false	enable_auto_reminders	boolean	YES	billing_config
3	reminder_days_before	integer	YES	billing_config
	updated_by	uuid	YES	billing_config
now()	updated_at	timestamp with time zone	YES	billing_config
false	show_payment_info	boolean	YES	billing_config
true	activo	boolean	YES	billing_config
18	igv_porcentaje	numeric	YES	billing_config
'B001'::text	serie_boleta	text	YES	billing_config
'F001'::text	serie_factura	text	YES	billing_config
'BC01'::text	serie_nc_boleta	text	YES	billing_config
'FC01'::text	serie_nc_factura	text	YES	billing_config
''::text	direccion	text	YES	billing_config
''::text	razon_social	text	YES	billing_config
''::text	ruc	text	YES	billing_config
''::text	nubefact_ruta	text	YES	billing_config
''::text	nubefact_token	text	YES	billing_config
true	demo_mode	boolean	YES	billing_config
	bank_account_holder	text	YES	billing_config
	yape_holder	text	YES	billing_config
	plin_holder	text	YES	billing_config
true	yape_enabled	boolean	YES	billing_config
true	plin_enabled	boolean	YES	billing_config
true	transferencia_enabled	boolean	YES	billing_config
	bank_name	text	YES	billing_config
	bank_account_number	text	YES	billing_config
	bank_cci	text	YES	billing_config
	lunch_message_template	text	YES	billing_config
	cafeteria_message_template	text	YES	billing_config
	student_message_template	text	YES	billing_config
	teacher_message_template	text	YES	billing_config
false	auto_billing_enabled	boolean	YES	billing_config
true	disable_voucher_ai	boolean	NO	billing_config
false	izipay_enabled	boolean	NO	billing_config
gen_random_uuid()	id	uuid	NO	billing_messages
	school_id	uuid	NO	billing_messages
	billing_period_id	uuid	YES	billing_messages
	parent_id	uuid	NO	billing_messages
	parent_phone	text	NO	billing_messages
	student_name	text	NO	billing_messages
	message_text	text	NO	billing_messages
	amount	numeric	NO	billing_messages
	pdf_url	text	YES	billing_messages
'pending'::text	status	text	NO	billing_messages
	sent_at	timestamp with time zone	YES	billing_messages
	error_message	text	YES	billing_messages
	scheduled_delay_seconds	integer	YES	billing_messages
	created_by	uuid	NO	billing_messages
now()	created_at	timestamp with time zone	YES	billing_messages
now()	updated_at	timestamp with time zone	YES	billing_messages
uuid_generate_v4()	id	uuid	NO	billing_negative_alerts
	school_id	uuid	YES	billing_negative_alerts
now()	detected_at	timestamp with time zone	YES	billing_negative_alerts
	tx_ids	ARRAY	NO	billing_negative_alerts
	total_amount	numeric	NO	billing_negative_alerts
'pending_review'::text	status	text	YES	billing_negative_alerts
	notes	text	YES	billing_negative_alerts
gen_random_uuid()	id	uuid	NO	billing_payments
	parent_id	uuid	NO	billing_payments
	student_id	uuid	NO	billing_payments
	school_id	uuid	NO	billing_payments
	billing_period_id	uuid	YES	billing_payments
0.00	total_amount	numeric	NO	billing_payments
0.00	paid_amount	numeric	NO	billing_payments
0.00	pending_amount	numeric	NO	billing_payments
	payment_method	text	YES	billing_payments
	operation_number	text	YES	billing_payments
	paid_at	timestamp with time zone	YES	billing_payments
'ticket'::text	document_type	text	YES	billing_payments
	document_number	text	YES	billing_payments
'pending'::text	status	text	NO	billing_payments
'[]'::jsonb	transaction_ids	jsonb	YES	billing_payments
	notes	text	YES	billing_payments
	created_by	uuid	NO	billing_payments
now()	created_at	timestamp with time zone	YES	billing_payments
now()	updated_at	timestamp with time zone	YES	billing_payments
gen_random_uuid()	id	uuid	NO	billing_periods
	school_id	uuid	NO	billing_periods
	period_name	text	NO	billing_periods
	start_date	date	NO	billing_periods
	end_date	date	NO	billing_periods
'draft'::text	status	text	NO	billing_periods
false	visible_to_parents	boolean	YES	billing_periods
	notes	text	YES	billing_periods
	created_by	uuid	NO	billing_periods
now()	created_at	timestamp with time zone	YES	billing_periods
now()	updated_at	timestamp with time zone	YES	billing_periods
gen_random_uuid()	id	uuid	NO	billing_queue
	recharge_request_id	uuid	YES	billing_queue
	student_id	uuid	NO	billing_queue
	school_id	uuid	YES	billing_queue
	amount	numeric	NO	billing_queue
	invoice_type	text	NO	billing_queue
	invoice_client_data	jsonb	YES	billing_queue
'pending'::text	status	text	NO	billing_queue
now()	created_at	timestamp with time zone	NO	billing_queue
	processed_at	timestamp with time zone	YES	billing_queue
	error_message	text	YES	billing_queue
0	emit_attempts	integer	NO	billing_queue
	nubefact_ticket	text	YES	billing_queue
	pdf_url	text	YES	billing_queue
	sunat_status	text	YES	billing_queue
	processing_started_at	timestamp with time zone	YES	billing_queue
	transaction_id	uuid	YES	billing_queue
gen_random_uuid()	id	uuid	NO	branch_supply_receipt_items
	receipt_id	uuid	NO	branch_supply_receipt_items
	product_id	uuid	NO	branch_supply_receipt_items
	quantity	integer	NO	branch_supply_receipt_items
	unit_cost	numeric	NO	branch_supply_receipt_items
	uom_id	uuid	YES	branch_supply_receipt_items
0	sort_order	smallint	NO	branch_supply_receipt_items
gen_random_uuid()	id	uuid	NO	branch_supply_receipts
	receipt_number	text	YES	branch_supply_receipts
	school_id	uuid	NO	branch_supply_receipts
	supplier_id	uuid	YES	branch_supply_receipts
	submitted_by	uuid	NO	branch_supply_receipts
	doc_type	text	NO	branch_supply_receipts
	doc_number	text	YES	branch_supply_receipts
	declared_total	numeric	NO	branch_supply_receipts
false	prices_include_igv	boolean	NO	branch_supply_receipts
	notes	text	YES	branch_supply_receipts
	evidence_path	text	YES	branch_supply_receipts
	match_score	jsonb	YES	branch_supply_receipts
'pending'::text	status	text	NO	branch_supply_receipts
	reviewed_by	uuid	YES	branch_supply_receipts
	reviewed_at	timestamp with time zone	YES	branch_supply_receipts
	rejection_reason	text	YES	branch_supply_receipts
	replaces_receipt_id	uuid	YES	branch_supply_receipts
clock_timestamp()	submitted_at	timestamp with time zone	NO	branch_supply_receipts
clock_timestamp()	updated_at	timestamp with time zone	NO	branch_supply_receipts
false	is_quick	boolean	NO	branch_supply_receipts
	stock_applied_at	timestamp with time zone	YES	branch_supply_receipts
gen_random_uuid()	id	uuid	NO	cancellation_alerts
	school_id	uuid	YES	cancellation_alerts
	transaction_id	uuid	YES	cancellation_alerts
	lunch_order_id	uuid	YES	cancellation_alerts
'sale_cancelled'::text	alert_type	text	NO	cancellation_alerts
0	amount	numeric	NO	cancellation_alerts
	payment_method	text	YES	cancellation_alerts
	refund_method	text	YES	cancellation_alerts
	cancelled_by	uuid	YES	cancellation_alerts
	cancellation_reason	text	YES	cancellation_alerts
	client_name	text	YES	cancellation_alerts
	ticket_code	text	YES	cancellation_alerts
false	is_read	boolean	YES	cancellation_alerts
	read_by	uuid	YES	cancellation_alerts
	read_at	timestamp with time zone	YES	cancellation_alerts
now()	created_at	timestamp with time zone	YES	cancellation_alerts
gen_random_uuid()	id	uuid	NO	cash_closures
	cash_register_id	uuid	NO	cash_closures
	school_id	uuid	NO	cash_closures
	closure_date	date	NO	cash_closures
0	pos_cash	numeric	YES	cash_closures
0	pos_card	numeric	YES	cash_closures
0	pos_yape	numeric	YES	cash_closures
0	pos_yape_qr	numeric	YES	cash_closures
0	pos_credit	numeric	YES	cash_closures
0	pos_mixed_cash	numeric	YES	cash_closures
0	pos_mixed_card	numeric	YES	cash_closures
0	pos_mixed_yape	numeric	YES	cash_closures
0	pos_total	numeric	YES	cash_closures
0	lunch_cash	numeric	YES	cash_closures
0	lunch_credit	numeric	YES	cash_closures
0	lunch_card	numeric	YES	cash_closures
0	lunch_yape	numeric	YES	cash_closures
0	lunch_total	numeric	YES	cash_closures
0	total_cash	numeric	YES	cash_closures
0	total_card	numeric	YES	cash_closures
0	total_yape	numeric	YES	cash_closures
0	total_yape_qr	numeric	YES	cash_closures
0	total_credit	numeric	YES	cash_closures
0	total_sales	numeric	YES	cash_closures
0	total_ingresos	numeric	YES	cash_closures
0	total_egresos	numeric	YES	cash_closures
0	initial_amount	numeric	YES	cash_closures
0	expected_final	numeric	YES	cash_closures
0	actual_final	numeric	YES	cash_closures
0	difference	numeric	YES	cash_closures
	closed_by	uuid	NO	cash_closures
	admin_validated_by	uuid	YES	cash_closures
false	exported_to_excel	boolean	YES	cash_closures
false	exported_to_pdf	boolean	YES	cash_closures
false	sent_to_whatsapp	boolean	YES	cash_closures
	whatsapp_phone	character varying	YES	cash_closures
false	printed	boolean	YES	cash_closures
now()	created_at	timestamp with time zone	YES	cash_closures
gen_random_uuid()	id	uuid	NO	cash_manual_entries
	cash_session_id	uuid	NO	cash_manual_entries
	school_id	uuid	NO	cash_manual_entries
	entry_type	text	NO	cash_manual_entries
	amount	numeric	NO	cash_manual_entries
CURRENT_DATE	entry_date	date	NO	cash_manual_entries
	category	text	NO	cash_manual_entries
	description	text	NO	cash_manual_entries
	created_by	uuid	NO	cash_manual_entries
now()	created_at	timestamp with time zone	NO	cash_manual_entries
'cash'::text	payment_method	text	NO	cash_manual_entries
gen_random_uuid()	id	uuid	NO	cash_movements
	cash_register_id	uuid	NO	cash_movements
	school_id	uuid	NO	cash_movements
	type	character varying	NO	cash_movements
	amount	numeric	NO	cash_movements
	reason	text	NO	cash_movements
	responsible_name	character varying	NO	cash_movements
	responsible_id	uuid	YES	cash_movements
	created_by	uuid	NO	cash_movements
true	requires_signature	boolean	YES	cash_movements
false	signature_validated	boolean	YES	cash_movements
false	voucher_printed	boolean	YES	cash_movements
now()	created_at	timestamp with time zone	YES	cash_movements
gen_random_uuid()	id	uuid	NO	cash_reconciliations
	cash_session_id	uuid	NO	cash_reconciliations
	school_id	uuid	NO	cash_reconciliations
0	system_cash	numeric	NO	cash_reconciliations
0	system_yape	numeric	NO	cash_reconciliations
0	system_plin	numeric	NO	cash_reconciliations
0	system_transferencia	numeric	NO	cash_reconciliations
0	system_tarjeta	numeric	NO	cash_reconciliations
0	system_mixto	numeric	NO	cash_reconciliations
0	system_total	numeric	NO	cash_reconciliations
0	physical_cash	numeric	NO	cash_reconciliations
0	physical_yape	numeric	NO	cash_reconciliations
0	physical_plin	numeric	NO	cash_reconciliations
0	physical_transferencia	numeric	NO	cash_reconciliations
0	physical_tarjeta	numeric	NO	cash_reconciliations
0	physical_mixto	numeric	NO	cash_reconciliations
0	physical_total	numeric	NO	cash_reconciliations
0	variance_cash	numeric	NO	cash_reconciliations
0	variance_yape	numeric	NO	cash_reconciliations
0	variance_plin	numeric	NO	cash_reconciliations
0	variance_transferencia	numeric	NO	cash_reconciliations
0	variance_tarjeta	numeric	NO	cash_reconciliations
0	variance_mixto	numeric	NO	cash_reconciliations
0	variance_total	numeric	NO	cash_reconciliations
0	declared_overage	numeric	NO	cash_reconciliations
0	declared_deficit	numeric	NO	cash_reconciliations
	reconciled_by	uuid	NO	cash_reconciliations
now()	created_at	timestamp with time zone	NO	cash_reconciliations
gen_random_uuid()	id	uuid	NO	cash_register_config
	school_id	uuid	NO	cash_register_config
false	auto_close_enabled	boolean	YES	cash_register_config
'18:00:00'::time without time zone	auto_close_time	time without time zone	YES	cash_register_config
'991236870'::character varying	whatsapp_phone	character varying	YES	cash_register_config
true	require_admin_password	boolean	YES	cash_register_config
true	alert_on_difference	boolean	YES	cash_register_config
10.00	difference_threshold	numeric	YES	cash_register_config
now()	created_at	timestamp with time zone	YES	cash_register_config
now()	updated_at	timestamp with time zone	YES	cash_register_config
gen_random_uuid()	id	uuid	NO	cash_registers
	school_id	uuid	NO	cash_registers
	opened_by	uuid	NO	cash_registers
now()	opened_at	timestamp with time zone	YES	cash_registers
0	initial_amount	numeric	NO	cash_registers
0	expected_amount	numeric	YES	cash_registers
	actual_amount	numeric	YES	cash_registers
	difference	numeric	YES	cash_registers
'open'::character varying	status	character varying	YES	cash_registers
	closed_by	uuid	YES	cash_registers
	closed_at	timestamp with time zone	YES	cash_registers
false	admin_password_validated	boolean	YES	cash_registers
	notes	text	YES	cash_registers
now()	created_at	timestamp with time zone	YES	cash_registers
now()	updated_at	timestamp with time zone	YES	cash_registers
gen_random_uuid()	id	uuid	NO	cash_sessions
	school_id	uuid	NO	cash_sessions
	session_date	date	NO	cash_sessions
'open'::text	status	text	NO	cash_sessions
	opened_by	uuid	NO	cash_sessions
now()	opened_at	timestamp with time zone	NO	cash_sessions
0	initial_cash	numeric	NO	cash_sessions
0	initial_yape	numeric	NO	cash_sessions
0	initial_plin	numeric	NO	cash_sessions
0	initial_other	numeric	NO	cash_sessions
	closed_by	uuid	YES	cash_sessions
	closed_at	timestamp with time zone	YES	cash_sessions
	cashier_name	text	YES	cash_sessions
	cashier_dni	text	YES	cash_sessions
	cashier_signature	text	YES	cash_sessions
	closure_notes	text	YES	cash_sessions
now()	created_at	timestamp with time zone	NO	cash_sessions
now()	updated_at	timestamp with time zone	NO	cash_sessions
	declared_cash	numeric	YES	cash_sessions
	declared_tarjeta	numeric	YES	cash_sessions
	system_cash	numeric	YES	cash_sessions
	system_tarjeta	numeric	YES	cash_sessions
	variance_cash	numeric	YES	cash_sessions
	variance_tarjeta	numeric	YES	cash_sessions
	variance_total	numeric	YES	cash_sessions
	variance_justification	text	YES	cash_sessions
	reported_cash_amount	numeric	YES	cash_sessions
gen_random_uuid()	id	uuid	NO	cobranzas_cargos
	empadronado_id	uuid	NO	cobranzas_cargos
	periodo	character varying	NO	cobranzas_cargos
	monto	numeric	NO	cobranzas_cargos
	saldo	numeric	NO	cobranzas_cargos
	fecha_vencimiento	date	YES	cobranzas_cargos
'pendiente'::character varying	estado	character varying	NO	cobranzas_cargos
	school_id	uuid	YES	cobranzas_cargos
now()	created_at	timestamp with time zone	NO	cobranzas_cargos
gen_random_uuid()	id	uuid	NO	cobranzas_pagos
	empadronado_id	uuid	NO	cobranzas_pagos
	cargo_id	uuid	YES	cobranzas_pagos
	metodo_pago	character varying	NO	cobranzas_pagos
	numero_operacion	character varying	YES	cobranzas_pagos
	monto	numeric	NO	cobranzas_pagos
	archivo_comprobante	text	YES	cobranzas_pagos
	notas	text	YES	cobranzas_pagos
	created_by	uuid	YES	cobranzas_pagos
now()	created_at	timestamp with time zone	NO	cobranzas_pagos
gen_random_uuid()	id	uuid	NO	combo_items
	combo_id	uuid	NO	combo_items
	product_id	uuid	NO	combo_items
1	quantity	integer	NO	combo_items
now()	created_at	timestamp with time zone	YES	combo_items
gen_random_uuid()	id	uuid	NO	combos
	name	character varying	NO	combos
	description	text	YES	combos
	combo_price	numeric	NO	combos
	image_url	text	YES	combos
true	active	boolean	YES	combos
	valid_from	date	YES	combos
	valid_until	date	YES	combos
	school_ids	ARRAY	YES	combos
now()	created_at	timestamp with time zone	YES	combos
now()	updated_at	timestamp with time zone	YES	combos
	school_id	uuid	YES	combos
true	is_active	boolean	NO	combos
false	is_archived	boolean	NO	combos
gen_random_uuid()	id	uuid	NO	configurable_plate_groups
	category_id	uuid	NO	configurable_plate_groups
	name	text	NO	configurable_plate_groups
true	is_required	boolean	YES	configurable_plate_groups
1	max_selections	integer	YES	configurable_plate_groups
0	display_order	integer	YES	configurable_plate_groups
now()	created_at	timestamp with time zone	YES	configurable_plate_groups
now()	updated_at	timestamp with time zone	YES	configurable_plate_groups
gen_random_uuid()	id	uuid	NO	configurable_plate_options
	group_id	uuid	NO	configurable_plate_options
	name	text	NO	configurable_plate_options
true	is_active	boolean	YES	configurable_plate_options
0	display_order	integer	YES	configurable_plate_options
now()	created_at	timestamp with time zone	YES	configurable_plate_options
uuid_generate_v4()	id	uuid	NO	daily_menu
	school_id	uuid	YES	daily_menu
	menu_date	date	NO	daily_menu
	meal_type	character varying	NO	daily_menu
	entry_dish	character varying	YES	daily_menu
	main_dish	character varying	YES	daily_menu
	dessert_or_drink	character varying	YES	daily_menu
	calories	integer	YES	daily_menu
	protein	numeric	YES	daily_menu
	carbs	numeric	YES	daily_menu
	fats	numeric	YES	daily_menu
	ingredients	text	YES	daily_menu
	allergen_warnings	text	YES	daily_menu
	created_by	uuid	YES	daily_menu
now()	created_at	timestamp without time zone	YES	daily_menu
uuid_generate_v4()	id	uuid	NO	delivery_sessions
	school_id	uuid	NO	delivery_sessions
	session_date	date	NO	delivery_sessions
now()	started_at	timestamp with time zone	NO	delivery_sessions
	ended_at	timestamp with time zone	YES	delivery_sessions
	started_by	uuid	YES	delivery_sessions
	ended_by	uuid	YES	delivery_sessions
'in_progress'::text	status	text	YES	delivery_sessions
0	total_orders	integer	YES	delivery_sessions
0	total_delivered	integer	YES	delivery_sessions
0	total_not_collected	integer	YES	delivery_sessions
0	total_modified	integer	YES	delivery_sessions
0	total_added_without_order	integer	YES	delivery_sessions
0	total_students	integer	YES	delivery_sessions
0	total_teachers	integer	YES	delivery_sessions
	report_data	jsonb	YES	delivery_sessions
now()	created_at	timestamp with time zone	YES	delivery_sessions
gen_random_uuid()	id	uuid	NO	dev_backlog
	reporter_id	uuid	YES	dev_backlog
	reporter_email	text	YES	dev_backlog
	reporter_role	text	YES	dev_backlog
	reporter_school_id	uuid	YES	dev_backlog
	reporter_school_name	text	YES	dev_backlog
	page_url	text	YES	dev_backlog
'[]'::jsonb	console_errors	jsonb	YES	dev_backlog
	user_message	text	NO	dev_backlog
	screenshot_url	text	YES	dev_backlog
	ai_classification	text	YES	dev_backlog
	ai_response	text	YES	dev_backlog
	ai_technical_analysis	text	YES	dev_backlog
	cursor_fix_prompt	text	YES	dev_backlog
'open'::text	status	text	YES	dev_backlog
'medium'::text	priority	text	YES	dev_backlog
now()	created_at	timestamp with time zone	YES	dev_backlog
now()	updated_at	timestamp with time zone	YES	dev_backlog
	resolved_at	timestamp with time zone	YES	dev_backlog
	resolved_by	uuid	YES	dev_backlog
gen_random_uuid()	id	uuid	NO	electronic_documents
	school_id	uuid	YES	electronic_documents
	transaction_id	uuid	YES	electronic_documents
	tipo_comprobante	integer	NO	electronic_documents
	serie	text	NO	electronic_documents
	numero	integer	NO	electronic_documents
	enlace_pdf	text	YES	electronic_documents
	enlace_xml	text	YES	electronic_documents
'pendiente'::text	estado	text	YES	electronic_documents
	cliente_nombre	text	YES	electronic_documents
	cliente_documento	text	YES	electronic_documents
	monto_total	numeric	YES	electronic_documents
	igv	numeric	YES	electronic_documents
	doc_ref_serie	text	YES	electronic_documents
	doc_ref_numero	integer	YES	electronic_documents
	respuesta_sunat	jsonb	YES	electronic_documents
now()	created_at	timestamp with time zone	YES	electronic_documents
gen_random_uuid()	id	uuid	NO	empadronados
	numero_padron	character varying	NO	empadronados
	nombre_completo	text	NO	empadronados
	dni	character varying	YES	empadronados
	telefono	character varying	YES	empadronados
	email	text	YES	empadronados
'habilitado'::character varying	estado	character varying	NO	empadronados
	school_id	uuid	YES	empadronados
	notas	text	YES	empadronados
now()	created_at	timestamp with time zone	NO	empadronados
now()	updated_at	timestamp with time zone	NO	empadronados
	page_url	text	YES	error_hotspots
	component	text	YES	error_hotspots
	error_count	bigint	YES	error_hotspots
	affected_users	bigint	YES	error_hotspots
	error_types	ARRAY	YES	error_hotspots
gen_random_uuid()	id	uuid	NO	error_logs
	user_id	uuid	YES	error_logs
	user_email	text	YES	error_logs
	user_role	text	YES	error_logs
	error_type	text	NO	error_logs
	error_code	text	YES	error_logs
	error_message	text	NO	error_logs
	error_translated	text	YES	error_logs
	page_url	text	YES	error_logs
	component	text	YES	error_logs
	action	text	YES	error_logs
	user_agent	text	YES	error_logs
	stack_trace	text	YES	error_logs
	metadata	jsonb	YES	error_logs
false	is_resolved	boolean	YES	error_logs
	resolved_at	timestamp with time zone	YES	error_logs
	resolved_by	uuid	YES	error_logs
	resolution_notes	text	YES	error_logs
now()	created_at	timestamp with time zone	YES	error_logs
	school_id	uuid	YES	error_logs
	module	text	NO	error_logs
	message	text	NO	error_logs
	context	jsonb	YES	error_logs
false	resolved	boolean	NO	error_logs
	error_type	text	YES	error_statistics
	total_count	bigint	YES	error_statistics
	affected_users	bigint	YES	error_statistics
	last_occurrence	timestamp with time zone	YES	error_statistics
	avg_hours_ago	numeric	YES	error_statistics
gen_random_uuid()	id	uuid	NO	gateway_webhook_events
	provider_name	text	NO	gateway_webhook_events
	external_event_id	text	NO	gateway_webhook_events
'{}'::jsonb	payload	jsonb	NO	gateway_webhook_events
'pending'::gateway_payment_status	gateway_status	USER-DEFINED	NO	gateway_webhook_events
	processed_at	timestamp with time zone	YES	gateway_webhook_events
	processing_error	text	YES	gateway_webhook_events
	payment_session_id	uuid	YES	gateway_webhook_events
	school_id	uuid	YES	gateway_webhook_events
now()	created_at	timestamp with time zone	NO	gateway_webhook_events
gen_random_uuid()	id	uuid	NO	huella_digital_logs
	usuario_id	uuid	YES	huella_digital_logs
	accion	character varying	NO	huella_digital_logs
	modulo	character varying	NO	huella_digital_logs
	detalles_tecnicos	jsonb	YES	huella_digital_logs
	contexto	jsonb	YES	huella_digital_logs
	school_id	uuid	YES	huella_digital_logs
now()	creado_at	timestamp with time zone	YES	huella_digital_logs
gen_random_uuid()	id	uuid	NO	impersonation_tokens
gen_random_uuid()	token	uuid	NO	impersonation_tokens
	created_by	uuid	NO	impersonation_tokens
	target_user_id	uuid	NO	impersonation_tokens
	target_email	text	NO	impersonation_tokens
	target_role	text	NO	impersonation_tokens
	target_school_id	uuid	YES	impersonation_tokens
	target_name	text	YES	impersonation_tokens
false	used	boolean	NO	impersonation_tokens
(now() + '02:00:00'::interval)	expires_at	timestamp with time zone	NO	impersonation_tokens
now()	created_at	timestamp with time zone	NO	impersonation_tokens
gen_random_uuid()	id	uuid	NO	in_app_notifications
	school_id	uuid	YES	in_app_notifications
	user_id	uuid	YES	in_app_notifications
	title	character varying	NO	in_app_notifications
	message	text	NO	in_app_notifications
'info'::character varying	type	character varying	NO	in_app_notifications
false	is_read	boolean	NO	in_app_notifications
now()	created_at	timestamp with time zone	NO	in_app_notifications
	sent_by	uuid	YES	in_app_notifications
	expiration_date	timestamp with time zone	YES	in_app_notifications
gen_random_uuid()	id	uuid	NO	internal_transfer_items
	transfer_id	uuid	NO	internal_transfer_items
	product_id	uuid	NO	internal_transfer_items
	quantity	integer	NO	internal_transfer_items
gen_random_uuid()	id	uuid	NO	internal_transfers
	from_school_id	uuid	NO	internal_transfers
	to_school_id	uuid	NO	internal_transfers
'completed'::text	status	text	NO	internal_transfers
	notes	text	YES	internal_transfers
	created_by	uuid	YES	internal_transfers
clock_timestamp()	created_at	timestamp with time zone	NO	internal_transfers
	transfer_number	text	YES	internal_transfers
	contact_person	text	YES	internal_transfers
	contact_phone	text	YES	internal_transfers
	approved_by	uuid	YES	internal_transfers
uuid_generate_v4()	id	uuid	NO	inventory_categories
	name	text	NO	inventory_categories
	icon	text	YES	inventory_categories
	color	text	YES	inventory_categories
now()	created_at	timestamp with time zone	YES	inventory_categories
now()	updated_at	timestamp with time zone	YES	inventory_categories
gen_random_uuid()	id	uuid	NO	inventory_guides
	source_type	text	NO	inventory_guides
	source_id	uuid	NO	inventory_guides
	business_ref	text	NO	inventory_guides
'Almacén Central'::text	destination_label	text	NO	inventory_guides
