AUDITORIA ESTRUCTURAL — Bloque C: triggers
Generado: 2026-06-19T07:07:23.659Z
Filas: 115
================================================================================

action	event	table_name	timing	trigger_name
EXECUTE FUNCTION log_billing_audit_event()	DELETE	cash_sessions	AFTER	trg_audit_cash_sessions
EXECUTE FUNCTION log_billing_audit_event()	INSERT	cash_sessions	AFTER	trg_audit_cash_sessions
EXECUTE FUNCTION fn_soft_delete_combo()	DELETE	combos	BEFORE	trg_soft_delete_combo
EXECUTE FUNCTION fn_sync_combo_active()	UPDATE	combos	BEFORE	trg_sync_combo_active
EXECUTE FUNCTION update_combos_updated_at()	UPDATE	combos	BEFORE	trigger_update_combos_updated_at
EXECUTE FUNCTION update_configurable_groups_updated_at()	UPDATE	configurable_plate_groups	BEFORE	configurable_plate_groups_updated_at
EXECUTE FUNCTION update_dev_backlog_updated_at()	UPDATE	dev_backlog	BEFORE	trigger_dev_backlog_updated_at
EXECUTE FUNCTION set_updated_at_empadronados()	UPDATE	empadronados	BEFORE	trg_empadronados_updated_at
EXECUTE FUNCTION fn_assign_transfer_number()	INSERT	internal_transfers	BEFORE	trg_assign_transfer_number
EXECUTE FUNCTION update_inventory_updated_at()	UPDATE	inventory_items	BEFORE	trg_inventory_items_updated
EXECUTE FUNCTION set_updated_at()	UPDATE	invoices	BEFORE	set_invoices_updated_at
EXECUTE FUNCTION set_updated_at_invoices()	UPDATE	invoices	BEFORE	trg_invoices_updated_at
EXECUTE FUNCTION trg_logs_pasarela_set_updated_at()	UPDATE	logs_pasarela	BEFORE	trg_logs_pasarela_set_updated_at
EXECUTE FUNCTION update_lunch_categories_updated_at()	UPDATE	lunch_categories	BEFORE	lunch_categories_updated_at
EXECUTE FUNCTION update_lunch_configuration_updated_at()	UPDATE	lunch_configuration	BEFORE	trigger_update_lunch_configuration_updated_at
EXECUTE FUNCTION update_updated_at_column()	UPDATE	lunch_menu_config	BEFORE	update_lunch_menu_config_updated_at
EXECUTE FUNCTION log_billing_audit_event()	UPDATE	lunch_menus	AFTER	trg_audit_lunch_menus
EXECUTE FUNCTION log_billing_audit_event()	DELETE	lunch_menus	AFTER	trg_audit_lunch_menus
EXECUTE FUNCTION log_billing_audit_event()	INSERT	lunch_menus	AFTER	trg_audit_lunch_menus
EXECUTE FUNCTION update_updated_at_column()	UPDATE	lunch_menus	BEFORE	update_lunch_menus_updated_at
EXECUTE FUNCTION trigger_update_order_price()	DELETE	lunch_order_addons	AFTER	update_order_price_on_addon_change
EXECUTE FUNCTION trigger_update_order_price()	UPDATE	lunch_order_addons	AFTER	update_order_price_on_addon_change
EXECUTE FUNCTION trigger_update_order_price()	INSERT	lunch_order_addons	AFTER	update_order_price_on_addon_change
EXECUTE FUNCTION log_billing_audit_event()	UPDATE	lunch_orders	AFTER	trg_audit_lunch_orders
EXECUTE FUNCTION fn_handle_lunch_order_cancellation_cascade()	UPDATE	lunch_orders	AFTER	trg_lunch_order_cancellation_cascade
EXECUTE FUNCTION fn_handle_prepayment_logic()	INSERT	lunch_orders	BEFORE	trg_lunch_orders_prepayment
EXECUTE FUNCTION fn_sync_cancelled_lunch_order_to_transaction()	UPDATE	lunch_orders	AFTER	trg_sync_cancelled_lunch_to_transaction
EXECUTE FUNCTION tg_validate_lunch_order_deadline()	INSERT	lunch_orders	BEFORE	trg_validate_lunch_order_deadline
EXECUTE FUNCTION update_lunch_orders_updated_at()	UPDATE	lunch_orders	BEFORE	trigger_update_lunch_orders_updated_at
EXECUTE FUNCTION update_modifier_groups_updated_at()	UPDATE	menu_modifier_groups	BEFORE	modifier_groups_updated_at
EXECUTE FUNCTION update_modifier_favorites_updated_at()	UPDATE	modifier_favorites	BEFORE	modifier_favorites_updated_at
EXECUTE FUNCTION update_nfc_cards_updated_at()	UPDATE	nfc_cards	BEFORE	trg_nfc_cards_updated_at
EXECUTE FUNCTION set_updated_at()	UPDATE	nubefact_config	BEFORE	set_nubefact_config_updated_at
EXECUTE FUNCTION update_parent_profiles_updated_at()	UPDATE	parent_profiles	BEFORE	trigger_update_parent_profiles_updated_at
EXECUTE FUNCTION check_parent_has_school()	UPDATE	parent_profiles	BEFORE	validate_parent_school
EXECUTE FUNCTION check_parent_has_school()	INSERT	parent_profiles	BEFORE	validate_parent_school
EXECUTE FUNCTION fn_guard_payment_sessions_debt_ids()	INSERT	payment_sessions	BEFORE	trg_guard_payment_sessions_debt_ids
EXECUTE FUNCTION fn_guard_payment_sessions_debt_ids()	UPDATE	payment_sessions	BEFORE	trg_guard_payment_sessions_debt_ids
EXECUTE FUNCTION apply_payment_recharge()	UPDATE	payment_transactions	BEFORE	trigger_apply_payment_recharge
EXECUTE FUNCTION update_printer_configs_updated_at()	UPDATE	printer_configs	BEFORE	trigger_update_printer_configs_updated_at
EXECUTE FUNCTION fn_log_price_change()	UPDATE	product_school_prices	AFTER	trg_log_price_change_school
EXECUTE FUNCTION trg_fn_product_school_prices_scope_guard()	INSERT	product_school_prices	BEFORE	trg_product_school_prices_scope_guard
EXECUTE FUNCTION trg_fn_product_school_prices_scope_guard()	UPDATE	product_school_prices	BEFORE	trg_product_school_prices_scope_guard
EXECUTE FUNCTION update_product_school_prices_updated_at()	UPDATE	product_school_prices	BEFORE	trigger_update_product_school_prices_updated_at
EXECUTE FUNCTION fn_guard_product_stock_negative_switch()	UPDATE	product_stock	BEFORE	trg_guard_product_stock_negative_switch
EXECUTE FUNCTION fn_guard_product_stock_negative_switch()	INSERT	product_stock	BEFORE	trg_guard_product_stock_negative_switch
EXECUTE FUNCTION fn_log_stock_manual_adjustment()	UPDATE	product_stock	AFTER	trg_log_stock_manual_adjustment
EXECUTE FUNCTION update_updated_at_column()	UPDATE	products	BEFORE	set_updated_at_products
EXECUTE FUNCTION fn_log_price_change_base()	UPDATE	products	AFTER	trg_log_price_change_base
EXECUTE FUNCTION trg_fn_products_scope_prices_deactivate()	UPDATE	products	AFTER	trg_products_scope_prices_deactivate
EXECUTE FUNCTION fn_soft_delete_product()	DELETE	products	BEFORE	trg_soft_delete_product
EXECUTE FUNCTION fn_sync_product_active()	UPDATE	products	BEFORE	trg_sync_product_active
EXECUTE FUNCTION update_promotions_updated_at()	UPDATE	promotions	BEFORE	trigger_update_promotions_updated_at
EXECUTE FUNCTION update_inventory_updated_at()	UPDATE	purchase_orders	BEFORE	trg_purchase_orders_updated
EXECUTE FUNCTION fn_block_duplicate_debt_payment()	INSERT	recharge_requests	BEFORE	tg_block_duplicate_debt_payment
EXECUTE FUNCTION log_billing_audit_event()	DELETE	recharge_requests	AFTER	trg_audit_recharge_requests
EXECUTE FUNCTION log_billing_audit_event()	UPDATE	recharge_requests	AFTER	trg_audit_recharge_requests
EXECUTE FUNCTION log_billing_audit_event()	INSERT	recharge_requests	AFTER	trg_audit_recharge_requests
EXECUTE FUNCTION fn_check_no_overlapping_payment_ids()	INSERT	recharge_requests	BEFORE	trg_check_no_overlapping_payment_ids
EXECUTE FUNCTION ensure_manual_payments_disabled()	INSERT	recharge_requests	BEFORE	trg_ensure_manual_payments_disabled
EXECUTE FUNCTION fn_guard_voucher_approval()	UPDATE	recharge_requests	BEFORE	trg_guard_voucher_approval
EXECUTE FUNCTION trg_fn_recharge_requests_promote_frozen()	UPDATE	recharge_requests	AFTER	trg_recharge_requests_promote_frozen
EXECUTE FUNCTION update_sales_updated_at()	UPDATE	sales	BEFORE	trigger_update_sales_updated_at
EXECUTE FUNCTION update_school_classrooms_updated_at()	UPDATE	school_classrooms	BEFORE	trigger_update_school_classrooms_updated_at
EXECUTE FUNCTION update_school_levels_updated_at()	UPDATE	school_levels	BEFORE	trigger_update_school_levels_updated_at
EXECUTE FUNCTION sync_student_names()	UPDATE	students	BEFORE	sync_student_names_trigger
EXECUTE FUNCTION sync_student_names()	INSERT	students	BEFORE	sync_student_names_trigger
EXECUTE FUNCTION log_billing_audit_event()	UPDATE	students	AFTER	trg_audit_students_balance
EXECUTE FUNCTION tg_force_free_account_mode()	UPDATE	students	BEFORE	trg_force_free_account_mode
EXECUTE FUNCTION tg_force_free_account_mode()	INSERT	students	BEFORE	trg_force_free_account_mode
EXECUTE FUNCTION force_zero_balance_on_insert()	INSERT	students	BEFORE	trg_force_zero_balance_on_insert
EXECUTE FUNCTION fn_log_student_balance_change()	UPDATE	students	AFTER	trg_log_student_balance_change
EXECUTE FUNCTION update_inventory_updated_at()	UPDATE	suppliers	BEFORE	trg_suppliers_updated
EXECUTE FUNCTION fn_system_status_updated_at()	UPDATE	system_status	BEFORE	trg_system_status_updated_at
EXECUTE FUNCTION update_teacher_profiles_updated_at()	UPDATE	teacher_profiles	BEFORE	trigger_update_teacher_profiles_updated_at
EXECUTE FUNCTION fn_block_transaction_items_delete()	DELETE	transaction_items	BEFORE	trg_block_transaction_items_delete
EXECUTE FUNCTION update_product_sales_count()	INSERT	transaction_items	AFTER	trigger_update_product_sales
EXECUTE FUNCTION update_student_balance()	INSERT	transactions	AFTER	on_transaction_created
EXECUTE FUNCTION log_billing_audit_event()	UPDATE	transactions	AFTER	trg_audit_transactions
EXECUTE FUNCTION log_billing_audit_event()	DELETE	transactions	AFTER	trg_audit_transactions
EXECUTE FUNCTION log_billing_audit_event()	INSERT	transactions	AFTER	trg_audit_transactions
EXECUTE FUNCTION tg_enforce_spending_limit()	INSERT	transactions	BEFORE	trg_enforce_spending_limit
EXECUTE FUNCTION fn_guard_kiosk_spending_limits()	INSERT	transactions	BEFORE	trg_guard_kiosk_spending_limits
EXECUTE FUNCTION fn_log_transaction_edit_post_approval()	UPDATE	transactions	BEFORE	trg_log_transaction_edit_post_approval
EXECUTE FUNCTION fn_prevent_modifying_sent_transactions()	UPDATE	transactions	BEFORE	trg_protect_sent_transactions
EXECUTE FUNCTION fn_prevent_modifying_sent_transactions()	DELETE	transactions	BEFORE	trg_protect_sent_transactions
EXECUTE FUNCTION fn_sync_period_spent_after_purchase()	INSERT	transactions	AFTER	trg_sync_period_spent
EXECUTE FUNCTION fn_sync_period_spent_after_cancel()	UPDATE	transactions	AFTER	trg_sync_period_spent_on_cancel
EXECUTE FUNCTION fn_assign_report_op_seq()	INSERT	transactions	BEFORE	trg_transactions_assign_op_seq
EXECUTE FUNCTION tg_transactions_balance_sync()	DELETE	transactions	AFTER	trg_transactions_balance_sync
EXECUTE FUNCTION tg_transactions_balance_sync()	INSERT	transactions	AFTER	trg_transactions_balance_sync
EXECUTE FUNCTION tg_transactions_balance_sync()	UPDATE	transactions	AFTER	trg_transactions_balance_sync
EXECUTE FUNCTION trg_fn_transactions_promote_frozen()	INSERT	transactions	AFTER	trg_transactions_promote_frozen
EXECUTE FUNCTION trg_fn_transactions_promote_frozen()	UPDATE	transactions	AFTER	trg_transactions_promote_frozen
EXECUTE FUNCTION prevent_duplicate_lunch_transaction()	INSERT	transactions	BEFORE	trigger_prevent_duplicate_lunch_transaction
EXECUTE FUNCTION log_billing_audit_event()	INSERT	treasury_transfers	AFTER	trg_audit_treasury
EXECUTE FUNCTION log_billing_audit_event()	UPDATE	treasury_transfers	AFTER	trg_audit_treasury
EXECUTE FUNCTION log_billing_audit_event()	DELETE	treasury_transfers	AFTER	trg_audit_treasury
EXECUTE FUNCTION update_weekly_menus_updated_at()	UPDATE	weekly_menus	BEFORE	trigger_update_weekly_menus_updated_at
